"cell","tsbin","t","Method","Order.q","SC","qD","qD.LCL","qD.UCL","nT","nOcc","Sobs","Chat","GoodU","Mrate","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","occurrence_no","collection_no","reference_no","bin_midpoint","cell_lng","cell_lat"
"1","140.075_1",3.54882445551986,"Rarefaction",0,0.8,1.70976489110397,1.06089452203201,2.35863526017594,5,5,2,1,0.8,0.5,1,0,0,1,0,0,0,0,0,0,5,5,3,"140.075",11.2500000006288,58.282525589545
"1","134.825_1",17.0894602641413,"Rarefaction",0,0.700000056204258,8.10745123560379,0,17.5683189731063,24,24,10,0.757,0.75,0.4,6,2,1,0,0,0,0,0,0,0,24,14,3,"134.825",11.2500000006288,58.282525589545
"1","146.15_1",1,"Observed",0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,"146.15",11.2500000006288,58.282525589545
"1","158.15_1",1.99995900720725,"Rarefaction",0,1,1,1,1,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,2,1,"158.15",11.2500000006288,58.282525589545
"1","117.3_1",1,"Observed",0,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,"117.3",11.2500000006288,58.282525589545
"1","1.29585_1",20.6439256350022,"Extrapolation",0,0.7,14.45,3.78502435892065,25.1149756410793,6,6,6,0.0741,0,0,6,0,0,0,0,0,0,0,0,0,6,1,1,"1.29585",11.2500000006288,58.282525589545
"1","129.185_1",1.83355173797729,"Rarefaction",0,0.699994866099435,1.44456092692122,0.85166220463215,2.03745964921029,6,6,2,1,1,1,0,1,0,1,0,0,0,0,0,0,6,3,2,"129.185",11.2500000006288,58.282525589545
"1000","239.232_1000",1.99995900720725,"Rarefaction",0,1,1,1,1,2,2,1,1,1,1,0,1,0,0,0,0,0,0,0,0,2,2,1,"239.232",-8.07076240928749,39.84651028142
"1000","4.4665_1000",261.396046862197,"Extrapolation",0,0.7,160.7,35.486190992582,285.913809007418,21,21,21,0.005,0,0,21,0,0,0,0,0,0,0,0,0,21,1,1,"4.4665",-8.07076240928749,39.84651028142
"1001","35.805_1001",38.1431608149351,"Rarefaction",0,0.699999922398255,21.4174364838217,17.3713453808875,25.4635275867559,119,119,34,0.917,0.915966386554622,0.705882352941177,10,7,2,6,2,3,1,2,0,0,119,13,5,"35.805",-78.7500000004855,8.41731465221895
"1001","25.17_1001",111.068818209251,"Extrapolation",0,0.7,65.2666666666667,7.5201976838398,123.013135649494,15,15,14,0.1428,0.133333333333333,0.0714285714285714,13,1,0,0,0,0,0,0,0,0,15,2,5,"25.17",-78.7500000004855,8.41731465221895
"1001","1.29585_1001",422.792451931664,"Extrapolation",0,0.7,227.107673143999,180.304894146309,273.910452141689,223,223,151,0.5258,0.524663677130045,0.298013245033113,106,27,14,2,1,0,0,1,0,0,223,5,5,"1.29585",-78.7500000004855,8.41731465221895
"1001","9.438_1001",193.427026078802,"Rarefaction",0,0.699999983686193,101.096796363458,97.1834559061312,105.010136820786,5114,5114,347,0.9812,0.981228001564333,0.723342939481268,96,37,25,15,13,13,8,8,11,2,5114,208,34,"9.438",-78.7500000004855,8.41731465221895
"1001","12.725_1001",231.701119810575,"Extrapolation",0,0.7,113.063636363635,83.4866934980714,142.640579229198,165,165,91,0.6374,0.636363636363636,0.340659340659341,60,14,9,4,0,1,1,0,1,0,165,15,13,"12.725",-78.7500000004855,8.41731465221895
"1001","6.2895_1001",463.3504505661,"Extrapolation",0,0.7,230.604761904757,147.808923231098,313.400600578417,210,210,134,0.5247,0.523809523809524,0.253731343283582,100,19,7,2,2,0,2,1,0,0,210,29,5,"6.2895",-78.7500000004855,8.41731465221895
"1001","18.215_1001",118.051664529203,"Rarefaction",0,0.700000011478981,58.9301610098563,49.3108254140255,68.5494966056871,168,168,72,0.7752,0.773809523809524,0.472222222222222,38,19,4,1,3,4,1,0,1,0,168,20,6,"18.215",-78.7500000004855,8.41731465221895
"1002","21.745_1002",95.0876241915228,"Extrapolation",0,0.7,54.68984375,0,124.464080935146,32,32,26,0.3517,0.34375,0.192307692307692,21,4,1,0,0,0,0,0,0,0,32,3,5,"21.745",-76.3524896299506,9.64040353498097
