"bin_midpoint","stage","hemisphere","slope","slope_mean","slope_sd","slope_lower_95","slope_upper_95","intercept","slope_se","p_value","r_squared","n_cells_model","n_resamples_valid","prop_negative","prop_positive","k_sample","slope_filter_id","slope_qc_type","slope_occurrence_min","slope_collection_min","method_group","slope_metric","quantile","n_cells","n_valid_lat_bins","min_abs_lat_bin_mid","max_abs_lat_bin_mid","lat_range_diagnostic","has_tropical","has_temperate","has_polar","sum_nT","mean_nT","median_nT","min_nT","max_nT","has_adjacent_tt","k_min","k_max","k_mean","k_median","k_cv","k_evenness","dominant_lat_bin_prop","pass_tropical","pass_temperate","pass_polar","pass_adjacent_tt","pass_n_lat_bins","label","color","qc_name","qc_type","occurrence_min","collection_min","min_cells_per_latbin","zone_requirement","require_tropical","require_temperate","require_polar","require_adjacent_tt","require_min_lat_bins","sampling_profile_dissim","slope_90deg","slope_sampled_range","interval_width","slope_direction","method","lat_range","min_abs_lat","max_abs_lat"
0.00585,"Holocene","Northern",-1.01742802239057,-0.974116250921823,0.135410226940014,-1.18994104866947,-0.770963286175269,85.0217966639481,0.386295676949629,0.0407661770273198,0.529426479349629,8,100,1,0,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,14,4,14.532644,73.221345,58.688701,TRUE,TRUE,TRUE,1167,83.3571428571429,42,20,424,TRUE,0,5,2.33333333333333,2,0.964682458064808,0,0.357142857142857,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.428571428571428,-91.5685220151515,-59.7115289951016,0.4189777624942,"normal_LDG","grid_cell_balanced_resampling_OLS",58.688701,14.532644,73.221345
1.29585,"Pleistocene","Northern",-0.677270953982212,-0.680888941747578,0.0610669021508761,-0.796762931347962,-0.580000711674089,53.3240743166101,0.243957874082848,0.00983566363542005,0.256184047213497,25,100,1,0,5,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,40,5,14.532644,73.221345,58.688701,TRUE,TRUE,TRUE,19025,475.625,159,9,5829,TRUE,0,12,6.66666666666667,7,0.604979338490167,0,0.3,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.4,-60.9543858583991,-39.7481525142468,0.216762219673873,"normal_LDG","grid_cell_balanced_resampling_OLS",58.688701,14.532644,73.221345
3.09,"Piacenzian","Northern",-0.66418668608437,-0.707495789646581,0.40979616513362,-1.43049849628186,-0.063412200389511,67.0042673919278,0.577332077378941,0.358931255658748,0.2802883883416,5,100,1,0,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,15,5,14.532644,73.221345,58.688701,TRUE,TRUE,TRUE,6898,459.866666666667,320,20,1834,TRUE,0,7,2.5,1.5,1.03537432844358,0,0.466666666666667,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.375,-59.7768017475933,-38.9802538277865,1.36708629589235,"normal_LDG","grid_cell_balanced_resampling_OLS",58.688701,14.532644,73.221345
4.4665,"Zanclean","Northern",-0.790601166195941,-0.758645612812339,0.178350728547723,-1.05481455271948,-0.390112499403607,60.2436602495384,0.32959647591367,0.0459041671217967,0.341751768445973,12,100,1,0,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,29,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,8018,276.48275862069,144,6,1167,TRUE,2,8,4.83333333333333,5,0.576594619753889,0.413793103448276,0.275862068965517,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.221674876847291,-71.1541049576346,-54.0963400727537,0.664702053315868,"normal_LDG","grid_cell_balanced_resampling_OLS",68.424311,4.797034,73.221345
6.2895,"Messinian","Northern",-2.1382920951586,-2.24009411388523,0.401394238398093,-2.84103881285226,-1.71186421447428,110.547303140023,0.595664130457924,0.0816441240687559,0.843377514857443,4,100,1,0,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,10,4,14.532644,49.126503,34.593859,TRUE,TRUE,FALSE,4436,443.6,234.5,17,2132,TRUE,0,6,1.66666666666667,1,1.35055544129073,0,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.2,-192.446288564274,-73.9717752407311,1.12917459837797,"normal_LDG","grid_cell_balanced_resampling_OLS",34.593859,14.532644,49.126503
9.438,"Tortonian","Northern",-0.564345318793429,-0.563355165250786,0.219906983267166,-0.936530115199003,-0.128908764294803,54.1300327026746,0.264491218346083,0.103365549463579,0.243148009605602,12,100,1,0,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,25,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,10706,428.24,166,6,4744,TRUE,2,7,4.16666666666667,3.5,0.465789652096308,0.48,0.28,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.0514285714285715,-50.7910786914086,-38.6149396045157,0.8076213509042,"normal_LDG","grid_cell_balanced_resampling_OLS",68.424311,4.797034,73.221345
12.725,"Serravallian","Northern",0.289129734320206,0.286872305598609,0.256569565553327,-0.187655386363665,0.771907725970273,17.8630835741957,0.418659043037205,0.447476281094759,0.0588407636134219,12,100,0.12,0.88,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,26,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,8862,340.846153846154,104,5,2631,TRUE,2,7,4.33333333333333,4,0.453780960115465,0.461538461538462,0.269230769230769,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.403846153846154,26.0216760888186,19.7835028604732,0.959563112333938,"reverse_LDG","grid_cell_balanced_resampling_OLS",68.424311,4.797034,73.221345
14.9,"Langhian","Northern",-0.673720836535398,-0.238944998135357,0.942648531923166,-1.09455375118051,1.80568068659317,51.9819722207586,0.798347173497626,0.426561791652284,0.328831378793038,4,100,0.75,0.25,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,12,4,14.532644,49.126503,34.593859,TRUE,TRUE,FALSE,2374,197.833333333333,148,5,975,TRUE,0,6,2,1,1.22474487139159,0,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.166666666666667,-60.6348752881858,-23.3066036244676,2.90023443777368,"normal_LDG","grid_cell_balanced_resampling_OLS",34.593859,14.532644,49.126503
18.215,"Burdigalian","Northern",-0.0696777960681056,-0.0661299062288603,0.243340366611786,-0.499609767726724,0.374490055740101,23.4286658517873,0.448737536673589,0.698559900179676,0.0197528409132863,10,100,0.61,0.39,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,31,5,14.532644,73.221345,58.688701,TRUE,TRUE,TRUE,9872,318.451612903226,109,8,1948,TRUE,0,11,5.16666666666667,5.5,0.748776317029892,0,0.354838709677419,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.857142857142857,-6.2710016461295,-4.08929933978003,0.874099823466825,"normal_LDG","grid_cell_balanced_resampling_OLS",58.688701,14.532644,73.221345
21.745,"Aquitanian","Northern",-1.00248379468148,-0.711286501729745,0.610086316005608,-1.46212839281376,0.101527437101344,67.3335048639765,1.69247788304965,0.651042157214919,0.121771576041218,4,100,0.85,0.15,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,7,4,14.532644,49.126503,34.593859,TRUE,TRUE,FALSE,556,79.4285714285714,40,5,361,TRUE,0,2,1.16666666666667,1.5,0.842736068785864,0,0.285714285714286,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.571428571428571,-90.2235415213332,-34.6797830429961,1.5636558299151,"normal_LDG","grid_cell_balanced_resampling_OLS",34.593859,14.532644,49.126503
25.17,"Chattian","Northern",0.36416993537091,0.37912481530374,0.229501314471181,-0.00341705784389926,0.898089640501817,29.8047880542736,0.698943156214839,0.606452767556735,0.0346829182947753,10,100,0.04,0.96,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,19,5,14.532644,73.221345,58.688701,TRUE,TRUE,TRUE,3391,178.473684210526,143,19,839,TRUE,0,7,3.16666666666667,2.5,0.784192864513228,0,0.368421052631579,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.230263157894737,32.7752941833819,21.3726604501727,0.901506698345717,"reverse_LDG","grid_cell_balanced_resampling_OLS",58.688701,14.532644,73.221345
30.6,"Rupelian","Northern",0.31466166049318,0.332565170620538,0.199415557753158,0.00822376357683642,0.718257498484864,10.7269202264896,0.400216016249919,0.346966186994705,0.0887555653566574,12,100,0.01,0.99,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,23,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,7037,305.95652173913,114,5,1633,TRUE,2,6,3.83333333333333,3.5,0.383989602883819,0.521739130434783,0.260869565217391,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.260869565217391,28.3195494443862,21.5305073173618,0.710033734908028,"reverse_LDG","grid_cell_balanced_resampling_OLS",68.424311,4.797034,73.221345
35.805,"Priabonian","Northern",0.491610980793472,0.487731629809412,0.341035874163981,-0.141900866352921,1.14548879585198,14.2237887752068,0.372324814585162,0.306252428828463,0.129909503385512,10,100,0.08,0.92,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,25,5,4.797034,49.126503,44.329469,TRUE,TRUE,FALSE,4480,179.2,123,8,982,TRUE,0,10,4.16666666666667,3,0.89048301499804,0,0.4,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.188571428571429,44.2449882714124,21.7928537331438,1.2873896622049,"reverse_LDG","grid_cell_balanced_resampling_OLS",44.329469,4.797034,49.126503
39.37,"Bartonian","Northern",-0.0339891620897091,0.00858956267825237,0.350663130115584,-0.478411348864772,0.81262785343469,13.3661336615097,0.44388743139078,0.675616440503321,0.0663860442426147,5,100,0.55,0.45,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,21,5,14.532644,73.221345,58.688701,TRUE,TRUE,TRUE,10523,501.095238095238,76,5,4277,TRUE,0,8,3.5,3.5,0.861891607371335,0,0.380952380952381,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.75,-3.05902458807382,-1.99477977112347,1.29103920229946,"normal_LDG","grid_cell_balanced_resampling_OLS",58.688701,14.532644,73.221345
44.55,"Lutetian","Northern",-0.0574606886303452,-0.124457809077019,0.33472104735677,-0.561866013223982,0.591336720371529,18.8955969210515,0.333497288975158,0.632972693473003,0.0628871936002738,6,100,0.68,0.32,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,25,6,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,7926,317.04,101,16,1675,TRUE,1,10,4.16666666666667,3.5,0.76524505878836,0.24,0.4,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.36,-5.17146197673107,-3.9317080291169,1.15320273359551,"normal_LDG","grid_cell_balanced_resampling_OLS",68.424311,4.797034,73.221345
52.035,"Ypresian","Northern",0.678183385094496,0.600211484142139,0.313405772529279,0.106728752049946,1.10245797176242,12.2868970974119,0.616874665244207,0.342916511511585,0.150165492658381,8,100,0,1,2,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,16,4,4.797034,49.126503,44.329469,TRUE,TRUE,FALSE,5974,373.375,208.5,19,1149,TRUE,0,8,2.66666666666667,2.5,1.10397010829098,0,0.5,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,1.125,61.0365046585047,30.0635093458615,0.995729219712471,"reverse_LDG","grid_cell_balanced_resampling_OLS",44.329469,4.797034,49.126503
57.62,"Thanetian","Northern",0.15583470520137,0.127004081979425,0.063671927007474,0.000925941362904566,0.169686787844663,34.1461835507709,0.901575443908488,0.873534113435542,0.00989834993670252,5,100,0,1,1,"occurrence5","occurrence",5,NA,"per_cell_balanced_resampling_OLS","median_resampled_slope",NA,10,5,4.797034,73.221345,68.424311,TRUE,TRUE,TRUE,2138,213.8,134.5,23,825,TRUE,0,6,1.66666666666667,1,1.29614813968157,0,0.6,TRUE,TRUE,TRUE,TRUE,TRUE,"good","Northern","occurrence5_k1_tropical_temperate","occurrence",5,NA,1,"tropical_temperate",TRUE,TRUE,FALSE,TRUE,FALSE,0.25,14.0251234681233,10.6628823332918,0.168760846481758,"reverse_LDG","grid_cell_balanced_resampling_OLS",68.424311,4.797034,73.221345
