"bin_midpoint","stage","max_abs_lat_Northern","max_abs_lat_Southern","prop_cells_ge_60_Northern","prop_cells_ge_60_Southern","prop_cells_ge_66_5_Northern","prop_cells_ge_66_5_Southern","prop_cells_ge_70_Northern","prop_cells_ge_70_Southern","prop_cells_ge_75_Northern","prop_cells_ge_75_Southern","reaches_60_Northern","reaches_60_Southern","reaches_66_5_Northern","reaches_66_5_Southern","reaches_70_Northern","reaches_70_Southern","reaches_75_Northern","reaches_75_Southern","both_reach_60","both_reach_66_5","both_reach_70","both_reach_75","max_abs_lat_diff","prop_cells_ge_60_diff","prop_cells_ge_70_diff"
0.00585,"Holocene",82.9884517635243,67.5278428689591,0.25,0.153846153846154,0.159090909090909,0.153846153846154,0.0909090909090909,0,0.0681818181818182,0,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,15.4606088945652,0.0961538461538461,0.0909090909090909
1.29585,"Pleistocene",79.841380966896,73.8495458962554,0.112676056338028,0.037037037037037,0.0845070422535211,0.037037037037037,0.0563380281690141,0.037037037037037,0.028169014084507,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,5.99183507064059,0.0756390193009911,0.019300991131977
3.09,"Piacenzian",66.4175214325077,51.9932841051366,0.0666666666666667,0,0,0,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,14.4242373273711,0.0666666666666667,0
4.4665,"Zanclean",66.4175214325077,67.5278428689591,0.0178571428571429,0.0833333333333333,0,0.0833333333333333,0,0,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,1.1103214364514,0.0654761904761905,0
9.438,"Tortonian",73.8495458966174,51.9932841051366,0.02,0,0.02,0,0.02,0,0,0,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,21.8562617914808,0.02,0.02
12.725,"Serravallian",59.866143480929,49.729945142217,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,10.136198338712,0,0
18.215,"Burdigalian",59.866143480929,59.7688858774627,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0.0972576034662964,0,0
35.805,"Priabonian",67.4252297663812,67.5278428689591,0.0192307692307692,0.0833333333333333,0.0192307692307692,0.0833333333333333,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.102613102577905,0.0641025641025641,0
44.55,"Lutetian",67.4252297663812,67.5278428689591,0.0377358490566038,0.0833333333333333,0.0377358490566038,0.0833333333333333,0,0,0,0,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0.102613102577905,0.0455974842767296,0
63.83,"Danian",79.8413809657469,62.2141685486785,0.03125,0.111111111111111,0.03125,0,0.03125,0,0.03125,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,17.6272124170684,0.0798611111111111,0.03125
77.9,"Campanian",75.4880138837914,65.0900301584896,0.117647058823529,0.0869565217391304,0.0735294117647059,0,0.0588235294117647,0,0.0147058823529412,0,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,10.3979837253018,0.030690537084399,0.0588235294117647
97.2,"Cenomanian",62.2141685432899,73.8495458962554,0.0363636363636364,0.222222222222222,0,0.166666666666667,0,0.111111111111111,0,0,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,11.6353773529655,0.185858585858586,0.111111111111111
106.85,"Albian",75.4880138836507,75.4880138895318,0.16,0.137931034482759,0.1,0.137931034482759,0.08,0.103448275862069,0.02,0.0344827586206897,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,5.88110538046749e-09,0.0220689655172414,0.023448275862069
117.3,"Aptian",75.4880138837914,79.1899781207528,0.0952380952380952,0.1875,0.0714285714285714,0.125,0.0238095238095238,0.125,0.0238095238095238,0.0625,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,3.7019642369614,0.0922619047619048,0.101190476190476
