"method_group","slope_metric","Analysis scope","QC Scenario","Group 1","Group 2","n1","n2","Median difference","W statistics","p value","p-adjusted value"
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Warmhouse",24,31,-0.504662418921425,123,1.2361162127305e-05,7.9173311927548e-05
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Hothouse",24,27,-0.49227973420264,103,1.58346623855096e-05,7.9173311927548e-05
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Transitional",24,33,-0.473135793158035,157,5.79109436400553e-05,0.000193036478800184
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coldhouse","Coolhouse",24,32,-0.358633027265174,219,0.00322902974744474,0.00807257436861186
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coolhouse","Warmhouse",32,31,-0.146029391656251,314,0.00629267020323286,0.0125853404064657
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coolhouse","Hothouse",32,27,-0.133646706937466,272,0.0076181051695688,0.0126968419492813
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Coolhouse","Transitional",32,33,-0.11450276589286,369,0.0187731734482277,0.0268188192117538
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Transitional","Hothouse",33,27,-0.0191439410446058,402,0.261433264462262,0.326791580577828
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Transitional","Warmhouse",33,31,-0.0315266257633907,479,0.333641875646827,0.370713195163141
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate","Warmhouse","Hothouse",31,27,0.0123826847187849,407,0.431926111467769,0.431926111467769
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coolhouse","Hothouse",20,16,-0.294470466414766,39,6.247503455731e-05,0.0006247503455731
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coldhouse","Hothouse",10,16,-0.483954586400257,20,0.000856564029378962,0.00428282014689481
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coldhouse","Warmhouse",10,22,-0.321770186902943,46,0.00491657476114212,0.0100076050107436
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coolhouse","Warmhouse",20,22,-0.132286066917451,114,0.00394261873311114,0.0100076050107436
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Transitional","Hothouse",17,16,-0.183724604480319,64,0.00500380250537179,0.0100076050107436
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Warmhouse","Hothouse",22,16,-0.162184399497314,113,0.0323119331676207,0.0538532219460346
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coldhouse","Transitional",10,17,-0.300229981919938,50,0.0416160663208423,0.059451523315489
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coolhouse","Transitional",20,17,-0.110745861934447,120,0.0657047532773105,0.0821309415966382
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Coldhouse","Coolhouse",10,20,-0.189484119985491,75,0.140548946003707,0.156165495559675
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k1_tropical_temperate_polar","Transitional","Warmhouse",17,22,-0.0215402049830045,155,0.186157645010574,0.186157645010574
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Coldhouse","Hothouse",14,16,-0.384736201641258,35,0.000736001675261924,0.00736001675261924
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Coldhouse","Transitional",14,20,-0.365940517989334,66,0.00505616696066673,0.0168538898688891
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Coldhouse","Warmhouse",14,18,-0.332117275127855,56,0.00414424115602785,0.0168538898688891
"per_cell_all_cells_OLS","all_cells_slope","Combined","occurrence5_k2_tropical_temperate","Coolhouse","Hothouse",21,16,-0.124265157906251,97,0.0153354622783374,0.0383386556958435
